"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"1","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","WALTER MARCELO","DEM"
"2","Eleições Gerais Estaduais 2018","DF","SENADOR","WASNY","PT"
"3","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MARLI CAMPOS","MDB"
"4","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PEIXE","PSC"
"5","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","ARAJÚ SEPETI GUARANI","PPS"
"6","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MARINALDA SANTOS","PTB"
"7","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","PATRÍCIA RODRIGUEZ","PSC"
"8","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ESTEVÃO ROLIM","REDE"
"9","Eleições Gerais Estaduais 2018","DF","SENADOR","IZALCI","PSDB"
"10","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CHARLES DO GÁSMYT","PRP"
"11","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PROF. ÂNGELO ZANOLLY","PHS"
"12","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ILKA TEODORO","PSOL"
"13","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PASTOR JOÃO PAULO","PP"
"14","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","JORGE BAIANO","PMB"
"15","Eleições Gerais Estaduais 2018","DF","1º SUPLENTE","LEANY LEMOS","PSB"
"16","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ROGERIO VIEIRA","DC"
"17","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","RAFAEL SILVA","PV"
"18","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","GERA DE CASTRO","NOVO"
"19","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CARLÃO","PSOL"
"20","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PROFESSOR AILTON","PSC"
"21","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","PAULA BELMONTE","PPS"
"22","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","VINICIUS","DC"
"23","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ERICO GRASSI","PT"
"24","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PIRIGOSO","SOLIDARIEDADE"
"25","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DR SAULO","PSL"
"26","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ISAIAS","PSB"
"27","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","RODRIGO SCARPA","PSDB"
"28","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ROGÉRIO MORRO DA CRUZ","AVANTE"
"29","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CORONEL REGINA","PRP"
"30","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ANDERSON LOPES","PATRIOTA"
"31","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","ERICK ANDRADE","PSOL"
"32","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","JURACY MARQUES","PSOL"
"33","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","NILSON PIRES","DC"
"34","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ENFERMEIRO JOSIAS JUNIOR","PATRIOTA"
"35","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DELEGADO MARIO GOMES","PHS"
"36","Eleições Gerais Estaduais 2018","DF","2º SUPLENTE","CESAR OLESK","NOVO"
"37","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","BILL","PROS"
"38","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","VANIA COELHO","PROS"
"39","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MÁRCIA RIBEIRO","NOVO"
"40","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","JUAREZÃO","PSB"
"41","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","KENNEDY VALENTE","PSD"
"42","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DANIEL RADAR","PPS"
"43","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","WASHINGTON MESQUITA","PTB"
"44","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ALEXANDRE YANEZ","PP"
"45","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","RICHARD BARROS","PSB"
"46","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","LUCIA BESSA","PPS"
"47","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","GABI DA JUVENTUDE","AVANTE"
"48","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PAULA AIK","PRP"
"49","Eleições Gerais Estaduais 2018","DF","1º SUPLENTE","LINCOLN MACÁRIO","PSOL"
"50","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","FLORÊNCIO DO QUEIJO","PMN"
"51","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","KADIJA","MDB"
"52","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","NETO NOROESTE ","PPS"
"53","Eleições Gerais Estaduais 2018","DF","SENADOR","LEILA DO VÔLEI","PSB"
"54","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","JOSE LUCIO","PHS"
"55","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MARTINS MACHADO","PRB"
"56","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ANDERSON MANTEIGA","PR"
"57","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PROF. IRAN LIMA","AVANTE"
"58","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","ISAAC SILVA","PPL"
