"eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","GALBA NOVAES","MDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","GEONALDO OMENA","PSOL"
"Eleições Gerais Estaduais 2018","AL","2º SUPLENTE","GILVÂNIA BARROS","MDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CEIÇA SALES","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PAULO DA FEDERAÇÃO","PDT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ERIVALDO PAULINO","PDT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","PROFESSOR MAMEDE","PC do B"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","JOÃO","PSB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ZIANE COSTA","MDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CIDOCA","PTC"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","JAMINHO","PATRIOTA"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PETRUCIO NASCIMENTO","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CIBELE MOURA","PSDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","SANDRA LOPES","PV"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","SARGENTO TULIO DINIZ","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","TAIS LANE","PSOL"
"Eleições Gerais Estaduais 2018","AL","2º SUPLENTE","NIL ANDRADE","PCO"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ANGELA STEMLER","PC do B"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","SEVERINO PESSÔA","PRB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","RODOLFO BARROS","PSB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","LAFON","PTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","THATI NICÁCIO","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ANDREZZA DE ABREU","MDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","FLAVIO CATÃO","PHS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","ERALDO DA ROSA","PHS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","JUIZ MARCELO TADEU","PDT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","BETO DA FARMÁCIA","PROS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","LOUISE VASCONCELOS","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","ROSINEIDE","DEM"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","DR. GILMAR","PRTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","RADIJALMA JUNIOR","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","ROSINHA DA ADEFAL","PTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","MARCOS ALMEIDA","PHS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","FLAVIA REIS","REDE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","VAL AMÉLIO","PRTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","SANDRA LIRA","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","NADJA MONIELLE","PRTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PALHAÇO PIRULITO","PROS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","CHICO DO PODER DO VOTO","PRTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","JOSE GOMES DA SILVA","PPS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PROFESSOR EDILSON LIMA","PSB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","IRMAO ALBERTO DA SEGURANCA","PHS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","EDVAL GAIA","PSDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MARCELO VICTOR","SOLIDARIEDADE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","LUCINHA CORREIA","SOLIDARIEDADE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","COCA AZEVEDO","PP"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","JAIRZINHO LIRA","PRTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","NEDSON PESSOA","PC do B"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PROF. RENILDO GOMES","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","RAFINHA COSTA","PSB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","LUCIANO REY","PC do B"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","KADU","PSB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","JARBAS DE SOUZA","PDT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","TERESA PORTO","PSB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ANA LUCIA","MDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","VESPA DE MACEIÓ","DEM"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","CORONEL DO VALLE","PSC"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","SALETE FAUSTINO","PPS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PITA","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","WALTER SANTOS","PODE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","ALVARO VASCONCELOS","PODE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","LENILDA DA SAÚDE","DEM"
"Eleições Gerais Estaduais 2018","AL","SENADOR","FLÁVIA MELO","PCO"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","AILTON VALDEVINO","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","DANIEL ANDERSON","PPL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","NANDO DO JAÇA","PV"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","INÁCIO LOIOLA","PDT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MAURO GUEDES","PV"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","DR. JOATHAS","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ALINE KINGO","PATRIOTA"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PROFESSOR LUIZINHO","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","VILMINHA","DC"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ROBERTO TEIXEIRA","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","ANDERSON PIMENTEL","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MARILOVE","PPL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ZÉ DO QUEIJO","PATRIOTA"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CIDA DO POVÃO","PV"
"Eleições Gerais Estaduais 2018","AL","1º SUPLENTE","EUDÓCIA CALDAS","PSB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","EDUARDO VASCONCELOS","PSB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","VANDERSON MENEZES","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PROFESSOR ASSIS BEZERRA","PPS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","SURUAGY JR","PHS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MARCINHO DO PARQUE AQUÁTICO","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","MARIA DE LOURDES","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","RANÚBIO LOPES","PPL"
"Eleições Gerais Estaduais 2018","AL","SENADOR","BENEDITO DE LIRA","PP"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","FRANCISMAR FARMACÊUTICO","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","EDJANE SANTOS","DEM"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ELIDA MIRANDA","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","YVAN BELTRÃO","PSD"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","FRANCISCO TENÓRIO","PMN"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","WASHINGTON FALCAO","PSL"
