"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"1","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MARCELO LOCUTOR","PTC"
"2","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","CANDIRU","DEM"
"3","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","RAQUEL SOUZA","PT"
"4","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","RAIMUNDO VAZ","PR"
"5","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","FRANCISCO CARLOS","PSL"
"6","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","SELMO DANTAS","PT"
"7","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","JOSANDRO CAVALCANTE","PSDB"
"8","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MANOEL MORAES","PSB"
"9","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","DAVILENE ANAISSI","PSB"
"10","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","TARCILIA","MDB"
"11","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","LUCIA ARAÚJO","PSOL"
"12","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","DINEIA PINHEIRO","PDT"
"13","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","RAIMUNDO CASTRO","PDT"
"14","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","SIMONE FÉLIX","PTB"
"15","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","IZAIAS LIMA","PSB"
"16","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","AROLDO MONTEIRO","PSDB"
"17","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","GABRIEL SANTOS","REDE"
"18","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ARTEMILSON DO POVO","PRTB"
"19","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","RAÍLA INÁCIO","SOLIDARIEDADE"
"20","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","JEAN DAMASCENO","PSB"
"21","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ALDILEIDE ARAÚJO","PPS"
"22","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MISSIONARIA ROSINEI","PSL"
"23","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","GILSOMAR LOPES","PSB"
"24","Eleições Gerais Estaduais 2018","AC","SENADOR","PEDRAZZA","PSL"
"25","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","RAIGNER DANTAS","PMB"
"26","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","KATIUCIA ROCHA","PMB"
"27","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","JORGE FIGUEIREDO","PRB"
"28","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ROXA","PTB"
"29","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PAULAO","PPS"
"30","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PENINHA MAGALHÃES","PROS"
"31","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ROBISON VASCONCELOS","PPL"
"32","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","NAZARE DO TACACA","PROS"
"33","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","JAMES FELIX","PT"
"34","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PROFESSOR CELSO","PSB"
"35","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","RUDILEI ESTRELA","PP"
"36","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","CLARINHA LEORNE","PSDB"
"37","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PEDRO TELES","PSOL"
"38","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MIRIA CARVALHO","PDT"
"39","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","RAFINHA CAVALCANTE","PMB"
"40","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PUI","PRP"
"41","Eleições Gerais Estaduais 2018","AC","GOVERNADOR","MARCUS ALEXANDRE","PT"
"42","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ARNALDO BARROS","PHS"
"43","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ANTONIA SALES","MDB"
"44","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ED(KELL)","PSL"
"45","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","FRANESI RIBEIRO","DEM"
"46","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","RAUANNI RODRIGUES","PHS"
"47","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","WHENDY LIMA","PSL"
"48","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","NETO CORREIA","PMN"
"49","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","FRANK DO BINGÃO","PHS"
"50","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","LAÉRCIO DA FARMÁCIA","PSOL"
"51","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","JONAS LIMA","PT"
"52","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","AMADEU","PSD"
"53","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PR. JEAN MAANAIM ","SOLIDARIEDADE"
"54","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MICHAEL","PTB"
"55","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ELCIDA VASCONCELO","PSC"
"56","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","NEGÃO DA BAIXADA","PRP"
