"eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ABELHINHA - ZENILTON","PSD"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DUDU","PPL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","CÉLIO","DC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","JULIO POMPEU","PDT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","VANIA MOREIRA","PTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","VASCO ALVES (VASQUINHO)","PPL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","MARIA  ANTÔNIA ULTRAMAR","PV"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARCOS PAI DOS AUTISTAS","AVANTE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","THIAGO ARAUJO","PODE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","JAMES OLIVEIRA","PTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","PASTOR VALDOMIRO ","PHS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","GÊMEOS CORREDOR - ARANHA","PSB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","GEIZA DA SAUDE","PC do B"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARLENE MENELLI","PP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DANIEL JOGADOR","AVANTE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","BAIANO DA RPF","DC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DRA. BERENICE","PRB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","CIDA","AVANTE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ELIEL","PP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","PATRICIA MESQUIATI","PODE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","FABYANNA MIRANDA","NOVO"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","CRISTIANO MARTINS","PRB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","GUERINO BALESTRASSI","PSC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","JENNER DINHO","DEM"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DRA ANA LÚCIA","PRB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","FABIANO ELLER","PV"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MAX DA MATA","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","JUNIOR AUTO ESCOLA","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARCIOLINIO MENDES","PSOL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","CELIA","AVANTE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","TIA RÊ","PSC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","HERMES GOMES","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ZEZITO MAIO","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","GORDINHO","PHS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARQUINHO DA FARMÁCIA","PV"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","THEODORICO FERRAÇO","DEM"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","AILTON PEREIRA","PT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","GUTO LORENZONI","REDE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","ADRIANO ROSA","PSOL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","GIULIANA PAVAN","PRP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","DR. IZAIAS JUNIOR ","PSDB"
"Eleições Gerais Estaduais 2018","ES","1º SUPLENTE","DIEGO LIBARDI","DEM"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","CLAUDIO ZEN","PTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARCOS RIBEIRO ","DC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ANA MARIA DAS DOMÉSTICAS","PRP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ALEXANDRE COSTA","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","DR JOÃO COSER","MDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DEVALDO CANDIDO","PRP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARCELO PATROCÍNIO","PSB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","CORONEL RISPERI","MDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ESMAR DA VITORIA","REDE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","HERMES LEMOS","AVANTE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ERNESTINA SIMÕES BRANDÃO","PODE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","MARCIA CARVALHO","PT"
"Eleições Gerais Estaduais 2018","ES","1º SUPLENTE","ANA PAULA TONGO","MDB"
"Eleições Gerais Estaduais 2018","ES","GOVERNADOR","ANDRE MOREIRA","PSOL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","JERONIMO ADVERSI","PR"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ENFERMEIRO EMMANUEL ","PR"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","PROFESSOR SWAMI","PSOL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","SILVINHO","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DIVINO","PSB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","LUCIA RAMOS","PSB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","GENESIO DA CANDEEIRO","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ROSE","PROS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ARTHUR SOS NATUREZA","PTC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","EDMO BRANDAO","PATRIOTA"
"Eleições Gerais Estaduais 2018","ES","VICE-GOVERNADOR","ROGÉRIO ZAMPERLINI","PSL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MOROBA","PT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","IRINY LOPES","PT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARCIO AMARAL","PPS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ZILDA GUIMARÃES","MDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","CLIO VENTURIM","PRB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","DR. JORGE SILVA","SOLIDARIEDADE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","VALTEIR DA SIM","PSC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARQUINHOS MENDES - RATINHO","PSC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","SARGENTO RANGEL","PSC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DOUTOR ADAIL","MDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","DANTAS EBENEZER","PRB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","EDENIL","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","GILSON GOMES FILHO","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DJ JERÊ","DC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","CARMEM BARCELLOS","REDE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","VANDINHO LEITE","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ROZILDA SALET","PMB"
