"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"1","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","IARA VAZ","PSD"
"2","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","VERMELHO","PSD"
"3","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","JUNINHO PEMAC","PV"
"4","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","LAURO RODRIGUES","PRTB"
"5","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","MARCO BRASIL","PP"
"6","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","TITO - TONY E TITO","PSL"
"7","Eleições Gerais Estaduais 2018","PR","1º SUPLENTE","NELSON PADOVANI","PSDB"
"8","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","POLICIAL MADRIL","PMB"
"9","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ERASTO TAXISTA","PROS"
"10","Eleições Gerais Estaduais 2018","PR","GOVERNADOR","OGIER BUCHI","PSL"
"11","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","CRISTINA SILVESTRI","PPS"
"12","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PROFESSOR MARLUS FORIGO","REDE"
"13","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ENG ÉDI","PV"
"14","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","SAYONARA NEVES","PV"
"15","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ROSELI GARÇONETE","PRP"
"16","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ALEXANDRE CURI","PSB"
"17","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","POLICIAL SIDNEI BELIZÁRIO","PRTB"
"18","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","CELIA ESTUDIO SACHAS","PRTB"
"19","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","RICARDO MARINHO","PT"
"20","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","VITORASSI","PT"
"21","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","PROFESSORA BIANKA RIBAS","MDB"
"22","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","FABIANO VICENTE ELIAS","PPS"
"23","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","HOMERO MARCHESE","PROS"
"24","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","RELLY AGARI ALGODOAL","PATRIOTA"
"25","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","CARLA PIMENTEL","PSC"
"26","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","NELMO CASSIANO","REDE"
"27","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","CASSIO LOBATO","PSL"
"28","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","JOÃO MENDONÇA","MDB"
"29","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ZINHO MACHADO","PODE"
"30","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PROF. JEFF","PSOL"
"31","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","VINÍCIUS CAMARGO","PMB"
"32","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","ZEZINHO FISIOTERAPEUTA","PDT"
"33","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","PAULINHO VILELA","PSL"
"34","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","ERNANI PECHMANN","NOVO"
"35","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","MARCO SETIM","PROS"
"36","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ANDREIA","PSC"
"37","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","CANTORA MARA LIMA","PSC"
"38","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","SUPERVISOR APARECIDO","PATRIOTA"
"39","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","PASTORA DALVINHA","PTC"
"40","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","AMANDA LESKA","PSDB"
"41","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","MAURILIO VIANA","PP"
"42","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","LUCIANA SAPORITI","REDE"
"43","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","MARIO CELSO ANDREATTA","PATRIOTA"
"44","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","DELEGADO FERNANDO","PSL"
"45","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","IARA DO AGUA VERDE","MDB"
"46","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","DANI BRAZ","PT"
"47","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","BARBOSA NETO","PDT"
