"candidato_id","nome","nome_urna","partido_sigla"
10000608401,"RAQUEL GLEYCIANE SANTOS DE SOUZA","RAQUEL SOUZA","PT"
10000608384,"JOSE SELMO DANTAS ALVES","SELMO DANTAS","PT"
10000608367,"JAMES FELIX DE SOUZA","JAMES FELIX","PT"
10000615663,"MARCUS ALEXANDRE MÉDICI AGUIAR VIANA DA SILVA","MARCUS ALEXANDRE","PT"
10000608366,"JONAS DE SOUZA LIMA","JONAS LIMA","PT"
10000615657,"JORGE NEY VIANA MACEDO NEVES","JORGE VIANA","PT"
10000608371,"JAKSON ROBERO RAMOS DA SILVA","DR. JAKSON RAMOS","PT"
10000615658,"MARIA DE NAZARETH MELLO DE ARAÚJO LAMBERT","NAZARETH ARAÚJO","PT"
10000608382,"KEDMA ABIGAIL ALVES DA SILVA","KEDMA SILVA","PT"
10000608379,"ANTONIO RAIMUNDO MELONIA DE ANDRADE","REAL","PT"
10000608368,"ELINEIDE MEIRELES MEDEIROS","ELINEIDE MEIRELES","PT"
10000615662,"JOSUE BEZERRA DE AMORIM","JOSUÉ AMORIM","PT"
10000608377,"GONTRAN DE FREITAS MACIEL NETO ","GONTRAN NETO","PT"
10000615660,"JOZINEY ALVES AMORIM","NEY AMORIM","PT"
10000608364,"TEMYLLIS LIMA DA SILVA","TEMYLLIS SILVA","PT"
10000608381,"ALDEMIR DA SILVA LOPES","ALDEMIR LOPES","PT"
10000608378,"NILDSON COSTA DE MOURA","PROF. NILDSON IBERNON","PT"
10000608403,"DARLA CRISTINA PENHA ALMEIDA DE OLIVEIRA","DARLA","PT"
10000608376,"ROSANGELA MARIA SOARES DE MELO","PROF. ROSANGELA","PT"
10000608369,"DANIEL QUEIROZ DE SANT ANA","DANIEL ZEN","PT"
10000608400,"RAIMUNDO ANGELIM VASCONCELOS","ANGELIM","PT"
10000608380,"ALBERTO FERNANDES RODRIGUES","ALBERTO FERNANDES ","PT"
10000608365,"ANA LEILA GALVÃO MAIA MOREIRA","LEILA GALVÃO","PT"
10000608399,"LEONARDO CUNHA DE BRITO","LEO DE BRITO","PT"
10000608370,"LOURIVAL MARQUES DE OLIVEIRA FILHO","LOURIVAL MARQUES","PT"
10000608383,"FRANCIMAR FERNANDES DE ALBUQUERQUE","FRANCIMAR FERNANDES","PT"
10000608375,"TEREZINHA SANTANA DA SILVA","TEREZINHA SANTANA","PT"
10000615606,"GLENILSOM ARAÚJO FIGUEIREDO","NIL FIGUEIREDO","PT"
10000608363,"MARIA JOSE RODRIGUES ANTROBOS MATOS","MARIA SOU DO POVO","PT"
10000608398,"SEBASTIÃO SIBA MACHADO OLIVEIRA","SIBÁ MACHADO","PT"
20000606309,"THATIANE NICÁCIO DE ARAÚJO","THATI NICÁCIO","PT"
20000606321,"SANDRA LÚCIA DOS SANTOS LIRA","SANDRA LIRA","PT"
20000606330,"PEDRO JULIÃO PITA DE ARAÚJO","PITA","PT"
20000606336,"LUIZ GOMES DA ROCHA","PROFESSOR LUIZINHO","PT"
20000606310,"FRANCISMAR LINS DOS SANTOS","FRANCISMAR FARMACÊUTICO","PT"
20000606308,"ELIDA RACHEL MIRANDA SOUSA","ELIDA MIRANDA","PT"
20000606323,"JOSEFA MÁRCIA FERREIRA NETO","MÁRCIA MEIRELLYS","PT"
20000606335,"BENEDITO DE OLIVEIRA LIMA","BENEDITO PROCÓPIO","PT"
20000606320,"ANA MARIA PEREIRA","ANA PEREIRA","PT"
20000606338,"MARIA DO SOCORRO DA SILVA OLIVEIRA","MARIA DO SOCORRO","PT"
20000606312,"VERONILDES RODRIGUES DA SILVA","MÃE VERA","PT"
20000606316,"JOSÉ FERNANDES DA COSTA","MAESTRO FERNANDES","PT"
20000606315,"VALDYER RIBEIRO PAIVA","PASTOR VALDYER","PT"
20000606326,"NEILSON ÁVILA DA ROCHA","NEILSON ÁVILA","PT"
20000606327,"CÍCERO LINDOVAL DE OLIVEIRA","JABOQUE","PT"
20000606324,"JOSÉ ANTÔNIO TIMÓTEO DE SOUZA","ANTÔNIO TIMÓTEO","PT"
20000606331,"ROBERTO PEREIRA MARTINS","ROBERTO MARTINS","PT"
20000606325,"JOABSON NASCIMENTO SILVA","JOABSON NASCIMENTO","PT"
20000606322,"DURVAL JOÃO DOS SANTOS NETO","DURVAL GUERREIRO","PT"
