"","eleicao_ano","eleicao_descricao","eleicao_tipo","eleicao_data","eleicao_abrangencia","uf","candidato_cargo","candidato_id","partido_id"
"1",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000610678,36
"2",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000624280,25
"3",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO FEDERAL",10000608401,13
"4",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000610697,22
"5",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000600203,17
"6",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000608384,13
"7",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000624284,45
"8",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000604773,40
"9",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000604776,40
"10",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000610632,15
"11",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000600120,50
"12",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO FEDERAL",10000602295,12
"13",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO FEDERAL",10000602312,12
"14",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000601045,14
"15",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000604784,40
"16",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000624273,45
"17",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000601172,18
"18",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000607175,28
"19",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000602856,77
"20",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000604790,40
"21",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000610682,23
"22",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000600210,17
"23",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000604778,40
"24",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","SENADOR",10000600229,17
"25",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000603901,35
"26",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000603897,35
"27",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000600789,10
"28",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000601040,14
"29",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000610691,23
"30",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000629953,90
"31",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000600118,54
"32",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000600774,90
"33",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000608367,13
"34",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000604791,40
"35",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO FEDERAL",10000602522,11
"36",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000624293,45
"37",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000600119,50
"38",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000602298,12
"39",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000603902,35
"40",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000600151,44
"41",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","GOVERNADOR",10000615663,13
"42",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000603913,31
"43",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000610634,15
"44",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000600204,17
"45",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000624281,25
"46",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000627577,31
"47",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000600216,17
"48",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000610684,33
"49",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000627572,31
"50",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000600125,50
"51",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000608366,13
"52",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000610614,55
"53",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000602852,77
"54",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000601041,14
"55",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000600241,20
"56",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000600150,44
"57",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO FEDERAL",10000602512,45
"58",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO FEDERAL",10000600222,17
"59",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO FEDERAL",10000600209,17
"60",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000603917,31
"61",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000602284,12
"62",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000600771,90
"63",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000610675,11
"64",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000610681,22
"65",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO FEDERAL",10000602521,23
"66",2018,"Eleições Gerais Estaduais 2018","ELEIÇÃO ORDINÁRIA","07/10/2018","ESTADUAL","AC","DEPUTADO ESTADUAL",10000610671,11
