"","partido_sigla","partido","partido_id","coligacao_id","uf"
"1","PTC","PARTIDO TRABALHISTA CRISTÃO",36,10000050286,"AC"
"2","DEM","DEMOCRATAS",25,10000050647,"AC"
"3","PT","PARTIDO DOS TRABALHADORES",13,10000050220,"AC"
"4","PR","PARTIDO DA REPÚBLICA",22,10000050286,"AC"
"5","PSL","PARTIDO SOCIAL LIBERAL",17,10000050011,"AC"
"6","PT","PARTIDO DOS TRABALHADORES",13,10000050218,"AC"
"7","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",45,10000050647,"AC"
"8","PSB","PARTIDO SOCIALISTA BRASILEIRO",40,10000050139,"AC"
"9","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO",15,10000050284,"AC"
"10","PSOL","PARTIDO SOCIALISMO E LIBERDADE",50,10000050007,"AC"
"11","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",12,10000050063,"AC"
"12","PTB","PARTIDO TRABALHISTA BRASILEIRO",14,10000050036,"AC"
"13","REDE","REDE SUSTENTABILIDADE",18,10000050039,"AC"
"14","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",28,10000050189,"AC"
"15","SOLIDARIEDADE","SOLIDARIEDADE",77,10000050085,"AC"
"16","PPS","PARTIDO POPULAR SOCIALISTA",23,10000050286,"AC"
"17","PMB","PARTIDO DA MULHER BRASILEIRA",35,10000050109,"AC"
"18","PRB","PARTIDO REPUBLICANO BRASILEIRO",10,10000050028,"AC"
"19","PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",90,10000050028,"AC"
"20","PPL","PARTIDO PÁTRIA LIVRE",54,10000050007,"AC"
"21","PP","PROGRESSISTAS",11,10000050074,"AC"
"22","PRP","PARTIDO REPUBLICANO PROGRESSISTA",44,10000050007,"AC"
"23","PT","PARTIDO DOS TRABALHADORES",13,10000050418,"AC"
"24","PHS","PARTIDO HUMANISTA DA SOLIDARIEDADE",31,10000050109,"AC"
"25","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",33,10000050286,"AC"
"26","PSD","PARTIDO SOCIAL DEMOCRÁTICO",55,10000050284,"AC"
"27","PSC","PARTIDO SOCIAL CRISTÃO",20,10000050011,"AC"
"28","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",45,10000050074,"AC"
"29","PP","PROGRESSISTAS",11,10000050286,"AC"
"30","PPS","PARTIDO POPULAR SOCIALISTA",23,10000050074,"AC"
"31","PV","PARTIDO VERDE",43,10000050007,"AC"
"32","PSD","PARTIDO SOCIAL DEMOCRÁTICO",55,10000050074,"AC"
"33","PODE","PODEMOS",19,10000050028,"AC"
"34","DC","DEMOCRACIA CRISTÃ",27,10000050189,"AC"
"35","PSD","PARTIDO SOCIAL DEMOCRÁTICO",55,10000050087,"AC"
"36","REDE","REDE SUSTENTABILIDADE",18,10000050001,"AC"
"37","PROS","PARTIDO REPUBLICANO DA ORDEM SOCIAL",90,10000050031,"AC"
"38","PATRIOTA","PATRIOTA",51,10000050011,"AC"
"39","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO",15,10000050087,"AC"
"40","PPL","PARTIDO PÁTRIA LIVRE",54,10000050031,"AC"
"41","AVANTE","AVANTE",70,10000050660,"AC"
