"","screen_name","metricas","count"
"1","jaciarabarros","rts",1
"2","artsjaguxr","rts",0
"3","supremire","rts",0
"4","fiukinho_joga","rts",0
"5","evakvr","rts",0
"6","NadilaineH","rts",0
"7","plankbbb","rts",1
"8","Parciais0FC","rts",7
"9","IzaelDave3","rts",0
"10","N4oInteress4_","rts",0
"11","Nat_1401","rts",3
"12","agente_bbb","rts",0
"13","diegoverciani","rts",0
"14","ttperina","rts",2
"15","_b4nanapancakes","rts",0
"16","kimdyrelic","rts",0
"17","kissyislouie","rts",0
"18","anapaulaferodri","rts",0
"19","NoticiasdaTV","rts",1
"20","PortalTracklist","rts",1
"21","LuhMegi","rts",1
"22","cra_zyyyy","rts",0
"23","i4seoul","rts",0
"24","DehToscano","rts",0
"25","coutinhoaoc","rts",0
"26","caroliinapetry","rts",0
"27","moletomgasto","rts",0
"28","Monique80425491","rts",0
"29","ademilson0311","rts",0
"30","madicurve","rts",0
"31","asslisson","rts",0
"32","TulioSi71062856","rts",0
"33","igentxe","rts",2
"34","Fabiollaa20","rts",0
"35","MHeitorr","rts",0
"36","Pri_mab","rts",0
"37","nordestna","rts",0
"38","HudsonG99","rts",0
"39","siyeoncelest","rts",0
"40","percyright","rts",0
"41","DoidaDmais","rts",0
"42","aleehsandro","rts",0
"43","eduardoitalos","rts",20
"44","perdifah","rts",1
"45","zynfvr","rts",0
"46","Mirian97814025","rts",18
"47","sourtimns","rts",0
"48","suhvieira05","rts",0
"49","AguaPiao","rts",0
"50","TheFarm3","rts",4
"51","freakwag","rts",0
"52","charlismagic","rts",0
"53","RealityNann__","rts",0
"54","Vigorentos2","rts",2
"55","Vyytinho_","rts",0
"56","larii_bianquini","rts",0
"57","mi_gomes","rts",0
"58","articxchae","rts",0
"59","ThStyless","rts",1
"60","KarollineS2","rts",0
"61","edredom7","rts",0
"62","arttsunw","rts",0
"63","LuanaCamar4","rts",0
"64","Mathcartaxo","rts",0
"65","saartorijr","rts",0
"66","thenatisas","rts",0
"67","kelvin_carmo","rts",0
"68","vih_peresz","rts",2
"69","BheatrixB","rts",0
"70","ceciliachiclete","rts",0
"71","ginger_jur","rts",0
"72","_iaagob","rts",0
"73","andrefpessoa","rts",0
"74","StacieMarinz","rts",0
"75","renjundetaiIs","rts",0
"76","tsr_82","rts",1
"77","JanaahFernandda","rts",7
"78","caracosinfinity","rts",0
"79","_pocah","rts",0
"80","viggokz","rts",0
"81","tainahsl","rts",0
"82","bbb21infoco","rts",0
"83","NariChinsun","rts",0
"84","JuJulianalimac","rts",0
"85","amwlinc","rts",1
"86","FDafinen","rts",0
"87","stylesgold_","rts",0
"88","ArianeEstter","rts",10
"89","LoirinhaLg","rts",0
"90","Splash_Celebs","rts",13
"91","evyllyh","rts",0
"92","MariaJl83609468","rts",0
"93","_pauloreal","rts",0
"94","ems_chel","rts",0
"95","MerciareginaN","rts",0
"96","JulianaDiogo10","rts",0
"97","meunanario","rts",0
"98","centralfreirebr","rts",55
"99","galoosho","rts",0
"100","ComentaBBB___","rts",0
"101","JuniwarriorS","rts",0
"102","folklorefelipe","rts",0
"103","juliette83658","rts",1
"104","jeonveyour","rts",0
"105","JE0NGWINGS","rts",0
"106","QGreality","rts",1
"107","daniennedias","rts",0
"108","potteravadaboom","rts",12
"109","buryablueboy","rts",0
"110","sangoaIs","rts",0
"111","PolemizaJeff","rts",27
"112","artseilish","rts",1
"113","tea___moon","rts",2
"114","millnogueira","rts",0
"115","NDelffino","rts",0
"116","lucasgmss_","rts",0
"117","JFeiire","rts",11
"118","FrancielFelixx","rts",0
"119","botoprafora","rts",0
"120","anandaclar","rts",4
"121","Andaira1818","rts",0
"122","isahSC","rts",1
"123","Tripw07","rts",0
"124","Jaem51","rts",0
"125","_Mckagan3x4","rts",0
"126","forksklore","rts",0
"127","jacobinabarbara","rts",12
"128","Guganfc","rts",0
"129","_evso","rts",0
"130","eudanilagarcia","rts",0
"131","MeiaChinelo","rts",1
"132","poemsnsd","rts",0
"133","cncowitcher","rts",0
"134","Goianinha14","rts",0
"135","juliettesagaz","rts",0
"136","Maijurity","rts",0
"137","ndaniele","rts",0
"138","Nahpmello","rts",0
"139","LineFernande","rts",1
"140","Senhor_comenta","rts",0
"141","AnaClementine","rts",1
"142","francesvaz","rts",0
"143","TiiagoCarvalho","rts",1
"144","AldairLuiz","rts",0
"145","EVERALD65373457","rts",0
"146","louestylesx","rts",2
"147","MomentsShows","rts",0
"148","MTOLED_","rts",1
"149","eujanny_","rts",0
"150","JanaPcom","rts",0
"151","Almeidarosas","rts",0
"152","camzriana","rts",0
"153","comenta_mar","rts",0
"154","yejiartts","rts",0
"155","LeoLe05","rts",2
"156","ferreira2_6","rts",1
"157","athinadeluna","rts",2
"158","BBBOnce21","rts",0
"159","jooseanee","rts",334
"160","luvsm4i","rts",0
"161","VeNus_Potysova","rts",0
"162","GaiolaC","rts",0
"163","brendacomenta","rts",0
"164","JssicaM98689747","rts",21
"165","simone_rbd","rts",1
"166","comenta_bru","rts",5
"167","BoraJuIio","rts",1
"168","queroppvcarthur","rts",0
"169","cerseironthrone","rts",11
"170","tempestickers","rts",0
"171","ironysale","rts",0
"172","Joysouz76144747","rts",4
"173","cassis_santos","rts",0
"174","percyxsinger","rts",3
"175","mounicao","rts",0
"176","clebberazv","rts",0
"177","tharavenclaw","rts",4
"178","opiinandomesmo","rts",7
"179","LuaMqs2","rts",1
"180","vickywriter","rts",2
"181","SaraAna_ofc","rts",1
"182","rwgulusblackz","rts",0
"183","Pedroguata844","rts",0
"184","NanSantos25","rts",0
"185","Iouheart","rts",0
"186","aripoeme","rts",0
"187","tapeswiser","rts",0
"188","neensm0ldery","rts",33
"189","giocom2ns","rts",1
"190","petrasdream","rts",0
"191","diegomassena","rts",0
"192","Catarihna","rts",0
"193","beverlysjo","rts",0
"194","Viniwidestdream","rts",0
"195","Meonly45895320","rts",2
"196","vinnlyraoficial","rts",0
"197","CH0IG0THIC","rts",0
"198","lipehcomenta","rts",4
"199","arcticosm","rts",0
"200","Luciene38658239","rts",0
"201","MatheusFilipeBS","rts",268
"202","lovinspampi","rts",0
"203","Yurisimoes01","rts",0
"204","MeuMeninaoLS_PR","rts",0
"205","robinho_o7","rts",2
"206","mremanuelsantos","rts",0
"207","flaycampos","rts",0
"208","seokjinhards","rts",0
"209","jannyellyguilh1","rts",0
"210","Nic_cocchi","rts",0
"211","bruninhaaac","rts",0
"212","monica_limann","rts",8
"213","LESBIANAEGI","rts",0
"214","yoalexiia","rts",0
"215","jmygredention","rts",0
"216","azapabro","rts",0
"217","Falomeixxxxmo","rts",2
"218","rassele_thiago","rts",0
"219","leo_rmcrf","rts",0
"220","CauanRodrigz","rts",0
"221","Suellen15363666","rts",0
"222","byankassantana","rts",0
"223","_biancabrito","rts",0
"224","Aloucadorealit2","rts",4
"225","pedrofirmo2016","rts",0
"226","juliaa_twt","rts",0
"227","SN00MLV","rts",0
"228","Splash_UOL","rts",1
"229","piovesandohauer","rts",0
"230","LittleAnngell","rts",0
"231","Dany_Borges84","rts",0
"232","tuitaagio","rts",0
